Category,Supplier,Sell Price,Buy Cost,Shipping Cost,Fee %,Ad Cost,Units,Revenue,Product Cost,Shipping Total,Fees Cost,Refund Flag,Refund Cost,Total Cost,Net Profit,Margin %,ROAS,Order Status
Pets,Yiwu Pet Products,$18.84,$3.55,$2.41,$0.03,$7.06,$1.00,$18.84,$3.55,$2.41,$0.57,No,$0.00,$13.59,$5.25,27.9%,2.67,Delivered
Automotive,Dongguan Auto Tools,$44.32,$13.91,$6.97,$0.03,$15.93,$2.00,$88.64,$27.82,$13.94,$2.66,No,$0.00,$60.35,$28.29,31.9%,5.56,Delivered
Lifestyle,Shenzhen Smart Home,$33.51,$9.68,$4.58,$0.03,$5.31,$1.00,$33.51,$9.68,$4.58,$1.01,No,$0.00,$20.58,$12.93,38.6%,6.31,Delivered
Kitchen,Foshan Appliances,$51.01,$17.11,$6.62,$0.03,$5.49,$1.00,$51.01,$17.11,$6.62,$1.53,No,$0.00,$30.75,$20.26,39.7%,9.29,Delivered
Kitchen,Foshan Appliances,$54.77,$15.53,$6.82,$0.03,$7.66,$2.00,$109.54,$31.06,$13.64,$3.29,No,$0.00,$55.65,$53.89,49.2%,14.30,Delivered
Electronics,Shenzhen Print Tech,$63.85,$21.99,$6.77,$0.03,$3.31,$1.00,$63.85,$21.99,$6.77,$1.92,Yes,$56.02,$90.01,-$26.16,-41.0%,19.29,Refunded
Fitness,Hangzhou Health Gear,$36.79,$8.70,$4.09,$0.03,$0.00,$2.00,$73.58,$17.40,$8.18,$2.21,No,$0.00,$27.79,$45.79,62.2%,0.00,Delivered
Beauty,Ningbo Beauty Supply,$29.88,$7.53,$4.46,$0.03,$5.60,$1.00,$29.88,$7.53,$4.46,$0.90,No,$0.00,$18.49,$11.39,38.1%,5.34,Delivered
Lifestyle,Shenzhen Smart Home,$36.38,$10.72,$4.45,$0.03,$5.85,$1.00,$36.38,$10.72,$4.45,$1.09,Yes,$19.64,$41.75,-$5.37,-14.8%,6.22,Refunded
Pets,Yiwu Pet Products,$19.82,$3.43,$2.49,$0.03,$6.96,$1.00,$19.82,$3.43,$2.49,$0.59,No,$0.00,$13.47,$6.35,32.0%,2.85,Delivered
Lifestyle,Shenzhen Smart Home,$30.90,$9.68,$3.85,$0.03,$19.37,$2.00,$61.80,$19.36,$7.70,$1.85,No,$0.00,$48.28,$13.52,21.9%,3.19,Delivered
Lifestyle,Shenzhen Smart Home,$36.22,$10.18,$4.51,$0.03,$8.73,$2.00,$72.44,$20.36,$9.02,$2.17,No,$0.00,$40.28,$32.16,44.4%,8.30,Delivered
Lifestyle,Shenzhen Smart Home,$36.07,$10.56,$3.81,$0.03,$15.82,$3.00,$108.21,$31.68,$11.43,$3.25,No,$0.00,$62.18,$46.03,42.5%,6.84,Delivered
Lifestyle,Shenzhen Smart Home,$33.48,$10.06,$4.55,$0.03,$19.41,$2.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$19.41,0.0%,0.00,Cancelled
Automotive,Dongguan Auto Tools,$48.33,$13.89,$7.40,$0.03,$0.00,$2.00,$96.66,$27.78,$14.80,$2.90,No,$0.00,$45.48,$51.18,52.9%,0.00,Delivered
Pets,Yiwu Pet Products,$18.00,$3.65,$2.44,$0.03,$12.01,$2.00,$36.00,$7.30,$4.88,$1.08,No,$0.00,$25.27,$10.73,29.8%,3.00,Delivered
Accessories,Guangzhou Cases Ltd.,$14.77,$2.16,$2.14,$0.03,$8.28,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$8.28,0.0%,0.00,Cancelled
Electronics,Shenzhen Print Tech,$55.75,$23.10,$8.02,$0.03,$20.42,$2.00,$111.50,$46.20,$16.04,$3.35,No,$0.00,$86.01,$25.49,22.9%,5.46,Delivered
Pets,Yiwu Pet Products,$20.88,$3.61,$2.45,$0.03,$10.84,$3.00,$62.64,$10.83,$7.35,$1.88,No,$0.00,$30.90,$31.74,50.7%,5.78,Delivered
Lifestyle,Shenzhen Smart Home,$32.92,$10.66,$4.41,$0.03,$5.28,$1.00,$32.92,$10.66,$4.41,$0.99,No,$0.00,$21.34,$11.58,35.2%,6.23,Delivered
Beauty,Ningbo Beauty Supply,$29.12,$7.17,$5.08,$0.03,$16.73,$2.00,$58.24,$14.34,$10.16,$1.75,No,$0.00,$42.98,$15.26,26.2%,3.48,Delivered
Lifestyle,Shenzhen Smart Home,$36.11,$10.42,$4.48,$0.03,$7.20,$1.00,$36.11,$10.42,$4.48,$1.08,No,$0.00,$23.18,$12.93,35.8%,5.02,Delivered
Electronics,Shenzhen Audio Co.,$39.09,$8.55,$3.71,$0.03,$18.13,$2.00,$78.18,$17.10,$7.42,$2.35,No,$0.00,$45.00,$33.18,42.4%,4.31,Delivered
Lifestyle,Shenzhen Smart Home,$30.87,$9.85,$3.62,$0.03,$8.51,$1.00,$30.87,$9.85,$3.62,$0.93,No,$0.00,$22.91,$7.96,25.8%,3.63,Delivered
Electronics,Shenzhen Audio Co.,$42.22,$8.82,$4.30,$0.03,$9.82,$1.00,$42.22,$8.82,$4.30,$1.27,No,$0.00,$24.21,$18.01,42.7%,4.30,Delivered
Electronics,Shenzhen Print Tech,$63.57,$22.29,$7.14,$0.03,$15.42,$3.00,$190.71,$66.87,$21.42,$5.72,No,$0.00,$109.43,$81.28,42.6%,12.37,Delivered
Accessories,Guangzhou Cases Ltd.,$15.88,$2.15,$2.00,$0.03,$14.06,$2.00,$31.76,$4.30,$4.00,$0.95,No,$0.00,$23.31,$8.45,26.6%,2.26,Delivered
Electronics,Shenzhen Audio Co.,$39.19,$8.40,$3.69,$0.03,$19.84,$2.00,$78.38,$16.80,$7.38,$2.35,No,$0.00,$46.37,$32.01,40.8%,3.95,Delivered
Electronics,Shenzhen Audio Co.,$41.76,$9.05,$4.22,$0.03,$19.79,$2.00,$83.52,$18.10,$8.44,$2.51,No,$0.00,$48.84,$34.68,41.5%,4.22,Delivered
Automotive,Dongguan Auto Tools,$47.28,$14.58,$6.05,$0.03,$13.28,$3.00,$141.84,$43.74,$18.15,$4.26,No,$0.00,$79.43,$62.41,44.0%,10.68,Delivered
Automotive,Dongguan Auto Tools,$46.78,$14.88,$6.87,$0.03,$15.77,$3.00,$140.34,$44.64,$20.61,$4.21,No,$0.00,$85.23,$55.11,39.3%,8.90,Delivered
Electronics,Shenzhen Audio Co.,$42.08,$8.53,$3.77,$0.03,$1.40,$1.00,$42.08,$8.53,$3.77,$1.26,No,$0.00,$14.96,$27.12,64.4%,30.06,Delivered
Home Decor,Yiwu Lighting Factory,$26.60,$6.27,$3.35,$0.03,$19.81,$2.00,$53.20,$12.54,$6.70,$1.60,No,$0.00,$40.65,$12.55,23.6%,2.69,Delivered
Beauty,Ningbo Beauty Supply,$29.92,$6.80,$4.72,$0.03,$8.94,$1.00,$29.92,$6.80,$4.72,$0.90,No,$0.00,$21.36,$8.56,28.6%,3.35,Delivered
Automotive,Dongguan Auto Tools,$47.37,$14.58,$7.09,$0.03,$4.90,$2.00,$94.74,$29.16,$14.18,$2.84,Yes,$65.04,$116.12,-$21.38,-22.6%,19.33,Refunded
Home Decor,Yiwu Lighting Factory,$26.78,$5.72,$3.64,$0.03,$8.92,$1.00,$26.78,$5.72,$3.64,$0.80,No,$0.00,$19.08,$7.70,28.8%,3.00,Delivered
Home Decor,Yiwu Lighting Factory,$24.77,$5.93,$3.77,$0.03,$16.88,$3.00,$74.31,$17.79,$11.31,$2.23,No,$0.00,$48.21,$26.10,35.1%,4.40,Delivered
Automotive,Dongguan Auto Tools,$47.64,$14.49,$6.83,$0.03,$3.12,$3.00,$142.92,$43.47,$20.49,$4.29,No,$0.00,$71.37,$71.55,50.1%,45.81,Delivered
Electronics,Shenzhen Audio Co.,$42.65,$8.50,$4.58,$0.03,$13.29,$3.00,$127.95,$25.50,$13.74,$3.84,No,$0.00,$56.37,$71.58,55.9%,9.63,Delivered
Electronics,Shenzhen Audio Co.,$44.77,$8.12,$3.66,$0.03,$11.24,$2.00,$89.54,$16.24,$7.32,$2.69,No,$0.00,$37.49,$52.05,58.1%,7.97,Delivered
Fitness,Hangzhou Health Gear,$37.20,$8.81,$3.65,$0.03,$3.90,$1.00,$37.20,$8.81,$3.65,$1.12,No,$0.00,$17.48,$19.72,53.0%,9.54,Delivered
Home Decor,Yiwu Lighting Factory,$23.51,$6.35,$3.44,$0.03,$5.59,$1.00,$23.51,$6.35,$3.44,$0.71,No,$0.00,$16.09,$7.42,31.6%,4.21,Delivered
Automotive,Dongguan Auto Tools,$40.87,$14.89,$6.97,$0.03,$0.00,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,0.0%,0.00,Cancelled
Fitness,Hangzhou Health Gear,$34.84,$9.49,$4.41,$0.03,$3.84,$2.00,$69.68,$18.98,$8.82,$2.09,No,$0.00,$33.73,$35.95,51.6%,18.15,Delivered
Electronics,Shenzhen Audio Co.,$42.83,$8.70,$3.62,$0.03,$6.30,$1.00,$42.83,$8.70,$3.62,$1.28,No,$0.00,$19.90,$22.93,53.5%,6.80,Delivered
Lifestyle,Shenzhen Smart Home,$36.36,$10.37,$4.11,$0.03,$19.36,$3.00,$109.08,$31.11,$12.33,$3.27,No,$0.00,$66.07,$43.01,39.4%,5.63,Delivered
Accessories,Guangzhou Cases Ltd.,$14.06,$1.94,$1.84,$0.03,$9.49,$1.00,$14.06,$1.94,$1.84,$0.42,No,$0.00,$13.69,$0.37,2.6%,1.48,Delivered
Accessories,Guangzhou Cases Ltd.,$14.97,$2.04,$1.96,$0.03,$0.00,$1.00,$14.97,$2.04,$1.96,$0.45,Yes,$10.25,$14.70,$0.27,1.8%,0.00,Refunded
Kitchen,Foshan Appliances,$48.98,$16.66,$6.74,$0.03,$19.80,$2.00,$97.96,$33.32,$13.48,$2.94,No,$0.00,$69.54,$28.42,29.0%,4.95,Delivered
Pets,Yiwu Pet Products,$21.94,$3.44,$2.41,$0.03,$4.85,$1.00,$21.94,$3.44,$2.41,$0.66,No,$0.00,$11.36,$10.58,48.2%,4.52,Delivered
Fitness,Hangzhou Health Gear,$31.87,$9.66,$3.69,$0.03,$9.15,$1.00,$31.87,$9.66,$3.69,$0.96,No,$0.00,$23.46,$8.41,26.4%,3.48,Delivered
Automotive,Dongguan Auto Tools,$44.34,$14.15,$6.30,$0.03,$9.03,$3.00,$133.02,$42.45,$18.90,$3.99,No,$0.00,$74.37,$58.65,44.1%,14.73,Delivered
Accessories,Guangzhou Cases Ltd.,$14.59,$2.12,$1.98,$0.03,$6.79,$1.00,$14.59,$2.12,$1.98,$0.44,No,$0.00,$11.33,$3.26,22.3%,2.15,Delivered
Electronics,Shenzhen Audio Co.,$36.32,$8.46,$4.32,$0.03,$9.43,$3.00,$108.96,$25.38,$12.96,$3.27,No,$0.00,$51.04,$57.92,53.2%,11.55,Delivered
Automotive,Dongguan Auto Tools,$40.61,$13.59,$6.95,$0.03,$15.17,$2.00,$81.22,$27.18,$13.90,$2.44,No,$0.00,$58.69,$22.53,27.7%,5.35,Delivered
Accessories,Guangzhou Cases Ltd.,$14.86,$1.92,$1.90,$0.03,$0.00,$1.00,$14.86,$1.92,$1.90,$0.45,No,$0.00,$4.27,$10.59,71.3%,0.00,Delivered
Pets,Yiwu Pet Products,$18.32,$3.41,$2.47,$0.03,$12.17,$2.00,$36.64,$6.82,$4.94,$1.10,No,$0.00,$25.03,$11.61,31.7%,3.01,Delivered
Beauty,Ningbo Beauty Supply,$33.11,$7.56,$4.18,$0.03,$27.02,$3.00,$99.33,$22.68,$12.54,$2.98,No,$0.00,$65.22,$34.11,34.3%,3.68,Delivered
Accessories,Guangzhou Cases Ltd.,$15.10,$2.13,$1.90,$0.03,$3.43,$1.00,$15.10,$2.13,$1.90,$0.45,Yes,$11.27,$19.18,-$4.08,-27.0%,4.40,Refunded
Lifestyle,Shenzhen Smart Home,$31.48,$10.72,$4.10,$0.03,$16.46,$2.00,$62.96,$21.44,$8.20,$1.89,No,$0.00,$47.99,$14.97,23.8%,3.83,Delivered
Lifestyle,Shenzhen Smart Home,$31.99,$10.72,$3.73,$0.03,$10.70,$2.00,$63.98,$21.44,$7.46,$1.92,No,$0.00,$41.52,$22.46,35.1%,5.98,Delivered
Automotive,Dongguan Auto Tools,$41.85,$13.69,$7.00,$0.03,$26.46,$3.00,$125.55,$41.07,$21.00,$3.77,No,$0.00,$92.30,$33.25,26.5%,4.74,Delivered
Pets,Yiwu Pet Products,$21.96,$3.59,$2.30,$0.03,$8.77,$1.00,$21.96,$3.59,$2.30,$0.66,Yes,$10.41,$25.73,-$3.77,-17.2%,2.50,Refunded
Electronics,Shenzhen Print Tech,$61.16,$23.34,$6.45,$0.03,$23.42,$3.00,$183.48,$70.02,$19.35,$5.50,Yes,$112.73,$231.02,-$47.54,-25.9%,7.83,Refunded
Home Decor,Yiwu Lighting Factory,$22.94,$5.85,$3.54,$0.03,$7.87,$1.00,$22.94,$5.85,$3.54,$0.69,No,$0.00,$17.95,$4.99,21.8%,2.91,Delivered
Fitness,Hangzhou Health Gear,$34.75,$8.57,$3.77,$0.03,$1.53,$1.00,$34.75,$8.57,$3.77,$1.04,No,$0.00,$14.91,$19.84,57.1%,22.71,Delivered
Electronics,Shenzhen Audio Co.,$43.99,$8.67,$4.37,$0.03,$6.56,$2.00,$87.98,$17.34,$8.74,$2.64,No,$0.00,$35.28,$52.70,59.9%,13.41,Delivered
Lifestyle,Shenzhen Smart Home,$33.43,$10.61,$4.19,$0.03,$16.98,$2.00,$66.86,$21.22,$8.38,$2.01,No,$0.00,$48.59,$18.27,27.3%,3.94,Delivered
Lifestyle,Shenzhen Smart Home,$34.48,$10.41,$4.45,$0.03,$0.00,$1.00,$34.48,$10.41,$4.45,$1.03,No,$0.00,$15.89,$18.59,53.9%,0.00,Delivered
Beauty,Ningbo Beauty Supply,$30.75,$7.37,$4.74,$0.03,$1.60,$1.00,$30.75,$7.37,$4.74,$0.92,No,$0.00,$14.63,$16.12,52.4%,19.22,Delivered
Pets,Yiwu Pet Products,$18.46,$3.44,$2.40,$0.03,$6.18,$1.00,$18.46,$3.44,$2.40,$0.55,No,$0.00,$12.57,$5.89,31.9%,2.99,Delivered
Kitchen,Foshan Appliances,$47.98,$16.20,$6.15,$0.03,$7.74,$3.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$7.74,0.0%,0.00,Cancelled
Home Decor,Yiwu Lighting Factory,$25.13,$6.46,$3.51,$0.03,$6.40,$1.00,$25.13,$6.46,$3.51,$0.75,No,$0.00,$17.12,$8.01,31.9%,3.93,Delivered
Electronics,Shenzhen Audio Co.,$42.11,$8.41,$4.26,$0.03,$10.56,$2.00,$84.22,$16.82,$8.52,$2.53,No,$0.00,$38.43,$45.79,54.4%,7.98,Delivered
Fitness,Hangzhou Health Gear,$33.88,$9.01,$4.25,$0.03,$16.52,$2.00,$67.76,$18.02,$8.50,$2.03,No,$0.00,$45.07,$22.69,33.5%,4.10,Delivered
Automotive,Dongguan Auto Tools,$41.05,$13.86,$6.27,$0.03,$12.39,$3.00,$123.15,$41.58,$18.81,$3.69,No,$0.00,$76.47,$46.68,37.9%,9.94,Delivered
Electronics,Shenzhen Audio Co.,$44.01,$8.20,$3.75,$0.03,$8.40,$1.00,$44.01,$8.20,$3.75,$1.32,No,$0.00,$21.67,$22.34,50.8%,5.24,Delivered
Pets,Yiwu Pet Products,$18.74,$3.51,$2.70,$0.03,$5.48,$1.00,$18.74,$3.51,$2.70,$0.56,No,$0.00,$12.25,$6.49,34.6%,3.42,Delivered
Home Decor,Yiwu Lighting Factory,$27.05,$6.24,$3.38,$0.03,$14.93,$2.00,$54.10,$12.48,$6.76,$1.62,No,$0.00,$35.79,$18.31,33.8%,3.62,Delivered
Fitness,Hangzhou Health Gear,$31.61,$9.18,$4.07,$0.03,$6.28,$1.00,$31.61,$9.18,$4.07,$0.95,No,$0.00,$20.48,$11.13,35.2%,5.03,Delivered
Beauty,Ningbo Beauty Supply,$28.49,$6.72,$4.33,$0.03,$9.28,$2.00,$56.98,$13.44,$8.66,$1.71,No,$0.00,$33.09,$23.89,41.9%,6.14,Delivered
Home Decor,Yiwu Lighting Factory,$23.90,$5.95,$3.56,$0.03,$7.29,$2.00,$47.80,$11.90,$7.12,$1.43,No,$0.00,$27.74,$20.06,42.0%,6.56,Delivered
Lifestyle,Shenzhen Smart Home,$36.42,$10.20,$4.54,$0.03,$15.97,$2.00,$72.84,$20.40,$9.08,$2.19,No,$0.00,$47.64,$25.20,34.6%,4.56,Delivered
Lifestyle,Shenzhen Smart Home,$30.02,$9.58,$4.41,$0.03,$8.01,$1.00,$30.02,$9.58,$4.41,$0.90,No,$0.00,$22.90,$7.12,23.7%,3.75,Delivered
Lifestyle,Shenzhen Smart Home,$36.81,$10.23,$3.83,$0.03,$12.21,$2.00,$73.62,$20.46,$7.66,$2.21,No,$0.00,$42.54,$31.08,42.2%,6.03,Delivered
Accessories,Guangzhou Cases Ltd.,$14.67,$1.91,$1.86,$0.03,$18.74,$2.00,$29.34,$3.82,$3.72,$0.88,No,$0.00,$27.16,$2.18,7.4%,1.57,Delivered
Lifestyle,Shenzhen Smart Home,$31.94,$10.06,$3.73,$0.03,$15.00,$3.00,$95.82,$30.18,$11.19,$2.87,No,$0.00,$59.24,$36.58,38.2%,6.39,Delivered
Fitness,Hangzhou Health Gear,$32.76,$9.67,$3.82,$0.03,$13.02,$2.00,$65.52,$19.34,$7.64,$1.97,No,$0.00,$41.97,$23.55,35.9%,5.03,Delivered
Electronics,Shenzhen Audio Co.,$40.27,$8.56,$3.96,$0.03,$2.50,$1.00,$40.27,$8.56,$3.96,$1.21,No,$0.00,$16.23,$24.04,59.7%,16.11,Delivered
Kitchen,Foshan Appliances,$49.69,$17.19,$5.81,$0.03,$5.29,$2.00,$99.38,$34.38,$11.62,$2.98,No,$0.00,$54.27,$45.11,45.4%,18.79,Delivered
Beauty,Ningbo Beauty Supply,$32.19,$7.03,$4.32,$0.03,$7.06,$1.00,$32.19,$7.03,$4.32,$0.97,Yes,$25.80,$45.18,-$12.99,-40.4%,4.56,Refunded
Accessories,Guangzhou Cases Ltd.,$16.34,$1.92,$2.12,$0.03,$0.00,$1.00,$16.34,$1.92,$2.12,$0.49,No,$0.00,$4.53,$11.81,72.3%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$25.14,$5.90,$3.87,$0.03,$5.80,$1.00,$25.14,$5.90,$3.87,$0.75,No,$0.00,$16.32,$8.82,35.1%,4.33,Delivered
Beauty,Ningbo Beauty Supply,$33.02,$7.35,$5.13,$0.03,$0.00,$3.00,$99.06,$22.05,$15.39,$2.97,No,$0.00,$40.41,$58.65,59.2%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$23.27,$6.47,$3.83,$0.03,$17.34,$2.00,$46.54,$12.94,$7.66,$1.40,No,$0.00,$39.34,$7.20,15.5%,2.68,Delivered
Beauty,Ningbo Beauty Supply,$33.39,$7.25,$4.27,$0.03,$10.14,$1.00,$33.39,$7.25,$4.27,$1.00,No,$0.00,$22.66,$10.73,32.1%,3.29,Delivered
Pets,Yiwu Pet Products,$21.16,$3.71,$2.35,$0.03,$6.45,$2.00,$42.32,$7.42,$4.70,$1.27,Yes,$22.63,$42.47,-$0.15,-0.4%,6.56,Refunded
Lifestyle,Shenzhen Smart Home,$32.59,$10.12,$4.48,$0.03,$5.33,$1.00,$32.59,$10.12,$4.48,$0.98,No,$0.00,$20.91,$11.68,35.8%,6.11,Delivered
Automotive,Dongguan Auto Tools,$45.74,$14.30,$6.35,$0.03,$6.72,$1.00,$45.74,$14.30,$6.35,$1.37,No,$0.00,$28.74,$17.00,37.2%,6.81,Delivered
Pets,Yiwu Pet Products,$19.16,$3.78,$2.71,$0.03,$0.00,$1.00,$19.16,$3.78,$2.71,$0.57,No,$0.00,$7.06,$12.10,63.2%,0.00,Delivered
Fitness,Hangzhou Health Gear,$36.74,$9.33,$3.65,$0.03,$16.47,$2.00,$73.48,$18.66,$7.30,$2.20,No,$0.00,$44.63,$28.85,39.3%,4.46,Delivered
Home Decor,Yiwu Lighting Factory,$24.39,$5.85,$3.26,$0.03,$12.43,$2.00,$48.78,$11.70,$6.52,$1.46,No,$0.00,$32.11,$16.67,34.2%,3.92,Delivered
Pets,Yiwu Pet Products,$20.20,$3.71,$2.86,$0.03,$6.53,$2.00,$40.40,$7.42,$5.72,$1.21,No,$0.00,$20.88,$19.52,48.3%,6.19,Delivered
Kitchen,Foshan Appliances,$50.96,$16.65,$5.78,$0.03,$20.50,$2.00,$101.92,$33.30,$11.56,$3.06,No,$0.00,$68.42,$33.50,32.9%,4.97,Delivered
Home Decor,Yiwu Lighting Factory,$25.03,$6.38,$3.21,$0.03,$4.60,$1.00,$25.03,$6.38,$3.21,$0.75,No,$0.00,$14.94,$10.09,40.3%,5.44,Delivered
Pets,Yiwu Pet Products,$18.11,$3.77,$2.39,$0.03,$5.07,$1.00,$18.11,$3.77,$2.39,$0.54,Yes,$9.68,$21.45,-$3.34,-18.4%,3.57,Refunded
Fitness,Hangzhou Health Gear,$36.37,$8.57,$3.64,$0.03,$6.33,$1.00,$36.37,$8.57,$3.64,$1.09,No,$0.00,$19.63,$16.74,46.0%,5.75,Delivered
Pets,Yiwu Pet Products,$20.21,$3.43,$2.60,$0.03,$6.97,$1.00,$20.21,$3.43,$2.60,$0.61,No,$0.00,$13.61,$6.60,32.7%,2.90,Delivered
Pets,Yiwu Pet Products,$21.18,$3.51,$2.65,$0.03,$10.73,$3.00,$63.54,$10.53,$7.95,$1.91,No,$0.00,$31.12,$32.42,51.0%,5.92,Delivered
Automotive,Dongguan Auto Tools,$49.53,$14.53,$6.87,$0.03,$6.81,$1.00,$49.53,$14.53,$6.87,$1.49,No,$0.00,$29.70,$19.83,40.0%,7.27,Delivered
Electronics,Shenzhen Print Tech,$64.89,$23.46,$6.76,$0.03,$0.00,$1.00,$64.89,$23.46,$6.76,$1.95,No,$0.00,$32.17,$32.72,50.4%,0.00,Delivered
Kitchen,Foshan Appliances,$45.18,$16.30,$6.12,$0.03,$3.48,$1.00,$45.18,$16.30,$6.12,$1.36,No,$0.00,$27.26,$17.92,39.7%,12.98,Delivered
Kitchen,Foshan Appliances,$48.11,$16.72,$5.97,$0.03,$0.00,$2.00,$96.22,$33.44,$11.94,$2.89,No,$0.00,$48.27,$47.95,49.8%,0.00,Delivered
Fitness,Hangzhou Health Gear,$33.71,$9.65,$3.97,$0.03,$19.54,$2.00,$67.42,$19.30,$7.94,$2.02,No,$0.00,$48.80,$18.62,27.6%,3.45,Delivered
Beauty,Ningbo Beauty Supply,$31.26,$7.10,$4.12,$0.03,$7.17,$1.00,$31.26,$7.10,$4.12,$0.94,No,$0.00,$19.33,$11.93,38.2%,4.36,Delivered
Electronics,Shenzhen Audio Co.,$39.49,$8.66,$3.91,$0.03,$1.39,$1.00,$39.49,$8.66,$3.91,$1.18,No,$0.00,$15.14,$24.35,61.7%,28.41,Delivered
Kitchen,Foshan Appliances,$51.05,$16.13,$6.54,$0.03,$11.51,$2.00,$102.10,$32.26,$13.08,$3.06,Yes,$62.83,$122.74,-$20.64,-20.2%,8.87,Refunded
Kitchen,Foshan Appliances,$52.34,$15.71,$6.06,$0.03,$19.94,$2.00,$104.68,$31.42,$12.12,$3.14,Yes,$84.91,$151.53,-$46.85,-44.8%,5.25,Refunded
Lifestyle,Shenzhen Smart Home,$30.45,$10.53,$4.45,$0.03,$7.54,$2.00,$60.90,$21.06,$8.90,$1.83,No,$0.00,$39.33,$21.57,35.4%,8.08,Delivered
Electronics,Shenzhen Audio Co.,$37.27,$8.18,$4.56,$0.03,$6.01,$1.00,$37.27,$8.18,$4.56,$1.12,No,$0.00,$19.87,$17.40,46.7%,6.20,Delivered
Kitchen,Foshan Appliances,$49.95,$15.96,$6.49,$0.03,$10.36,$1.00,$49.95,$15.96,$6.49,$1.50,No,$0.00,$34.31,$15.64,31.3%,4.82,Delivered
Electronics,Shenzhen Print Tech,$54.36,$22.64,$7.09,$0.03,$19.09,$2.00,$108.72,$45.28,$14.18,$3.26,No,$0.00,$81.81,$26.91,24.8%,5.70,Delivered
Lifestyle,Shenzhen Smart Home,$34.96,$9.94,$4.11,$0.03,$8.55,$1.00,$34.96,$9.94,$4.11,$1.05,No,$0.00,$23.65,$11.31,32.4%,4.09,Delivered
Home Decor,Yiwu Lighting Factory,$23.18,$6.03,$3.96,$0.03,$7.31,$1.00,$23.18,$6.03,$3.96,$0.70,Yes,$15.71,$33.71,-$10.53,-45.4%,3.17,Refunded
Pets,Yiwu Pet Products,$20.20,$3.68,$2.80,$0.03,$1.46,$1.00,$20.20,$3.68,$2.80,$0.61,No,$0.00,$8.55,$11.65,57.7%,13.84,Delivered
Pets,Yiwu Pet Products,$21.42,$3.74,$2.71,$0.03,$7.95,$1.00,$21.42,$3.74,$2.71,$0.64,No,$0.00,$15.04,$6.38,29.8%,2.69,Delivered
Pets,Yiwu Pet Products,$21.92,$3.56,$2.55,$0.03,$5.74,$1.00,$21.92,$3.56,$2.55,$0.66,No,$0.00,$12.51,$9.41,42.9%,3.82,Delivered
Pets,Yiwu Pet Products,$20.17,$3.60,$2.75,$0.03,$0.00,$1.00,$20.17,$3.60,$2.75,$0.61,No,$0.00,$6.96,$13.21,65.5%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$26.10,$6.45,$3.31,$0.03,$10.19,$1.00,$26.10,$6.45,$3.31,$0.78,No,$0.00,$20.73,$5.37,20.6%,2.56,Delivered
Fitness,Hangzhou Health Gear,$34.27,$9.04,$3.74,$0.03,$4.37,$1.00,$34.27,$9.04,$3.74,$1.03,No,$0.00,$18.18,$16.09,47.0%,7.84,Delivered
Accessories,Guangzhou Cases Ltd.,$14.05,$2.01,$2.15,$0.03,$8.44,$3.00,$42.15,$6.03,$6.45,$1.26,No,$0.00,$22.18,$19.97,47.4%,4.99,Delivered
Beauty,Ningbo Beauty Supply,$29.77,$7.29,$4.88,$0.03,$9.27,$1.00,$29.77,$7.29,$4.88,$0.89,No,$0.00,$22.33,$7.44,25.0%,3.21,Delivered
Kitchen,Foshan Appliances,$55.94,$16.27,$6.66,$0.03,$8.17,$1.00,$55.94,$16.27,$6.66,$1.68,No,$0.00,$32.78,$23.16,41.4%,6.85,Delivered
Electronics,Shenzhen Print Tech,$55.97,$22.52,$6.95,$0.03,$13.42,$2.00,$111.94,$45.04,$13.90,$3.36,No,$0.00,$75.72,$36.22,32.4%,8.34,Delivered
Fitness,Hangzhou Health Gear,$31.97,$8.75,$3.96,$0.03,$6.15,$1.00,$31.97,$8.75,$3.96,$0.96,No,$0.00,$19.82,$12.15,38.0%,5.20,Delivered
Electronics,Shenzhen Print Tech,$65.74,$23.13,$7.90,$0.03,$9.41,$1.00,$65.74,$23.13,$7.90,$1.97,No,$0.00,$42.41,$23.33,35.5%,6.99,Delivered
Electronics,Shenzhen Print Tech,$57.65,$23.49,$7.79,$0.03,$13.16,$2.00,$115.30,$46.98,$15.58,$3.46,No,$0.00,$79.18,$36.12,31.3%,8.76,Delivered
Lifestyle,Shenzhen Smart Home,$32.03,$10.07,$3.72,$0.03,$7.70,$1.00,$32.03,$10.07,$3.72,$0.96,No,$0.00,$22.45,$9.58,29.9%,4.16,Delivered
Lifestyle,Shenzhen Smart Home,$32.08,$9.97,$3.92,$0.03,$4.09,$1.00,$32.08,$9.97,$3.92,$0.96,No,$0.00,$18.94,$13.14,41.0%,7.84,Delivered
Home Decor,Yiwu Lighting Factory,$26.91,$5.77,$3.88,$0.03,$9.80,$1.00,$26.91,$5.77,$3.88,$0.81,No,$0.00,$20.26,$6.65,24.7%,2.75,Delivered
